dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
150112345,2015-05-07,2015-05-07,2145,1,Central,161,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,23,M,H,34.0483,-118.2631,Invest Cont,DEPARTMENT STORE
170414446,2017-08-23,2017-08-01,1000,4,Hollenbeck,408,310,BURGLARY,1309 0342 0397 1275,58,M,H,34.0887,-118.1809,Invest Cont,SINGLE FAMILY DWELLING
171907843,2017-03-14,2017-03-12,1400,19,Mission,1981,210,ROBBERY,0344 1501 0337 0302 0334,30,M,H,34.2319,-118.472,Invest Cont,STREET
131925071,2013-12-24,2013-12-24,930,19,Mission,1967,310,BURGLARY,1607 0344,20,M,H,34.2473,-118.4351,Invest Cont,SINGLE FAMILY DWELLING
101412764,2010-05-15,2010-05-15,1530,14,Pacific,1485,624,BATTERY - SIMPLE ASSAULT,0416,18,F,H,33.9541,-118.3962,Invest Cont,RESTAURANT/FAST FOOD
171313483,2017-05-31,2017-05-26,1000,13,Newton,1341,510,VEHICLE - STOLEN,NA,16,NA,NA,34.0176,-118.2778,Invest Cont,STREET
161906504,2016-02-16,2016-02-16,400,19,Mission,1981,624,BATTERY - SIMPLE ASSAULT,0400 0554 0906,27,F,H,34.2319,-118.4698,Adult Other,SINGLE FAMILY DWELLING
161513573,2016-06-17,2016-06-17,1215,15,N Hollywood,1586,310,BURGLARY,0344 0352 1606,28,F,W,34.1425,-118.3643,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140518002,2014-11-29,2014-11-28,1530,5,Harbor,503,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1307,24,M,W,33.7968,-118.2937,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
102020830,2010-09-22,2010-09-22,2030,20,Olympic,2005,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1810,21,M,W,34.0799,-118.3046,Adult Arrest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
150816787,2015-10-27,2015-10-27,550,8,West LA,835,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1309 0361 0444 0429 0416 0417 1310 0602 1206,22,F,O,34.0482,-118.4354,Adult Other,STREET
161512379,2016-06-02,2016-06-01,602,15,N Hollywood,1532,330,BURGLARY FROM VEHICLE,0344 1300 1609,28,F,O,34.1794,-118.4052,Invest Cont,PARKING LOT
130315356,2013-06-25,2013-06-25,600,3,Southwest,377,510,VEHICLE - STOLEN,NA,12,NA,NA,34.0109,-118.2959,Invest Cont,STREET
100326116,2010-11-13,2010-11-02,1200,3,Southwest,318,354,THEFT OF IDENTITY,0100 0377 0930 0928 1822,28,F,H,34.0336,-118.284,Invest Cont,SINGLE FAMILY DWELLING
152110086,2015-05-15,2015-05-14,1300,21,Topanga,2144,888,TRESPASSING,0913,51,F,W,34.1917,-118.6176,Invest Cont,SINGLE FAMILY DWELLING
121223195,2012-10-05,2012-10-05,1425,12,77th Street,1245,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0345 0342 0371 0302 0430 0319 0906 1407,28,M,B,33.9831,-118.2915,Invest Cont,STREET
110121069,2011-12-06,2011-12-05,1800,1,Central,156,210,ROBBERY,0416 0305 0417,43,M,B,34.0423,-118.2452,Invest Cont,SIDEWALK
100713178,2010-07-30,2010-07-30,334,7,Wilshire,733,310,BURGLARY,0344 0358,42,F,O,34.0649,-118.3525,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
141909357,2014-04-03,2014-04-02,1400,19,Mission,1915,330,BURGLARY FROM VEHICLE,1307 0344,24,F,H,34.3009,-118.441,Invest Cont,PARKING LOT
160311170,2016-04-18,2016-04-18,30,3,Southwest,314,626,INTIMATE PARTNER - SIMPLE ASSAULT,1414 2000 1813 0416 0408,43,F,B,34.0312,-118.3262,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
110413327,2011-08-20,2011-08-18,1800,4,Hollenbeck,449,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1402,NA,M,W,34.0514,-118.2001,Invest Cont,SINGLE FAMILY DWELLING
101215857,2010-06-02,2010-06-01,1830,12,77th Street,1268,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),NA,NA,NA,NA,33.9624,-118.2761,Invest Cont,STREET
120706309,2012-02-22,2012-02-22,1500,7,Wilshire,769,330,BURGLARY FROM VEHICLE,1300 1302 0344,39,M,H,34.0455,-118.3225,Invest Cont,STREET
130608572,2013-03-07,2013-03-07,200,6,Hollywood,648,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,37,M,O,34.0981,-118.3071,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140417047,2014-11-09,2014-11-09,130,4,Hollenbeck,412,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212,NA,M,O,34.0819,-118.2204,Invest Cont,STREET
